OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,GlobalID,MedianAge
1,1,21,041,GILCHRIST,Gilchrist,FL,1099,27,37,134,147,140,151,162,125,100,76,0,0 to 118,49,629,464,6,1099,0,0,44,751,2,405,10,355,741,0,3,1096,327,28,0,0,189,166,0,355,9,13,53,57,37,42,49,25,31,39,0,0 to 106,46,281,24,20,30,51,268,36,27,0,20,0,0,3,355,166,189,355,0,0,3253,0,3615,3253,355,3,511,494,920490830.042053,148547.348006441,cb6285a2-da2e-4583-aad5-1221776836ae,46
2,2,54,107,PUTNAM,Putnam,FL,4598,105,231,535,681,601,687,726,495,339,181,17,0 to 118,47,2747,1799,52,4589,9,0,413,3673,133,1151,25,1481,3115,0,2,4587,903,577,1,0,768,691,21,1480,36,136,260,230,220,201,179,100,73,40,6,0 to 100,38,706,406,187,181,293,962,225,280,1,166,0,0,26,1481,692,768,1480,1,0,11290,8,12790,11298,1481,26,276,208,2142439482.67719,232574.925675008,ce511c5d-2638-44a3-b2f8-b13847543637,38
3,3,62,123,TAYLOR,Taylor,FL,1950,42,56,191,395,358,310,274,195,92,33,4,0 to 118,42,790,1138,22,1941,9,0,61,1412,3,688,29,947,997,0,6,1935,897,47,3,0,219,725,0,944,2,17,90,252,226,178,106,47,21,8,0,4 to 91,40,391,328,52,173,88,643,213,69,0,22,0,0,4,947,725,222,944,3,0,4190,6,5170,4196,947,4,780,680,2685252568.13834,267348.178950349,541bd5a3-4453-499a-9896-f0edc5353d0b,40
4,4,46,091,OKALOOSA,Okaloosa,FL,10323,227,304,1154,1694,1522,1380,1443,1070,840,645,44,0 to 119,46,6026,4183,114,10161,161,1,528,7467,137,1522,131,3448,6842,1,32,10129,3245,173,25,5,1836,1526,56,3418,35,117,595,709,559,469,419,274,156,111,4,0 to 103,39,1731,313,616,758,450,2056,912,277,4,155,2,0,41,3448,1538,1854,3417,30,1,25512,133,29136,25645,3448,41,3030,2599,2369222670.29688,330553.160278386,eb5d2450-a892-40fd-9ba4-9821a7438525,39
5,5,7,013,CALHOUN,Calhoun,FL,1009,13,29,98,148,171,140,156,122,86,46,0,0 to 99,48,513,480,16,1009,0,0,29,602,4,322,12,462,546,0,1,1008,446,16,0,0,192,269,1,462,2,13,48,87,82,63,60,45,35,27,0,1 to 99,44,279,45,28,110,17,320,125,46,0,29,0,0,7,462,269,192,462,0,0,3287,0,3766,3287,462,7,517,456,1487626835.10838,192207.890331272,3b55aa95-5170-4caf-82a3-e99ad7459349,44
6,6,50,099,PALM BEACH,Palm Beach,FL,98183,1606,2792,9387,13736,13013,14249,15556,12748,8654,4780,1662,0 to 119,50,53083,44699,401,97156,1025,2,7568,77345,465,24394,669,36600,61149,167,267,96727,35733,480,379,8,18596,17456,161,36213,612,1383,5349,6903,6032,5661,4678,2709,1787,1423,63,0 to 106,41,13569,5785,6058,10801,10083,13964,12166,3848,44,2778,29,16,929,36600,17652,18768,36211,387,2,239358,661,277215,240019,36600,929,9636,9371,5710098601.29486,464192.459734082,cc4a8da3-38f1-429a-a0cb-00ffdaa43da7,41
7,7,56,111,ST. LUCIE,St. Lucie,FL,15920,297,469,1445,2154,2171,2465,2571,2126,1362,804,56,0 to 119,50,9168,6477,275,15767,153,0,1231,11586,188,3962,144,5695,9947,5,273,15489,5555,117,23,0,3081,2523,68,5672,109,238,772,970,918,896,763,491,295,222,21,0 to 104,43,1826,1206,823,1817,1152,2218,2302,515,2,365,2,1,163,5695,2534,3093,5672,23,0,36713,132,42594,36845,5695,163,3708,3693,1499679486.67142,252832.323289834,399b37a3-aa4a-40d4-aa83-5a2ba14bd0c4,43
8,8,51,101,PASCO,Pasco,FL,20662,396,597,2072,2822,2936,3283,3332,2764,1663,737,60,0 to 119,49,11664,8894,104,20560,102,0,1406,15292,223,5537,241,6982,13574,2,104,20454,6806,139,36,1,3598,3307,40,6945,109,228,1051,1229,1104,1100,905,642,378,203,33,0 to 105,42,4365,482,989,1109,1402,3980,1563,841,9,544,4,1,127,6982,3325,3617,6945,37,0,59715,68,66815,59783,6982,127,4332,3781,1975344274.45807,225211.500752162,83116673-3fad-423e-b67e-dfe7515f5e81,42
9,9,20,039,GADSDEN,Gadsden,FL,4497,100,211,454,758,785,768,643,484,186,97,11,0 to 119,44,2764,1705,28,4475,21,1,240,3523,46,1075,26,1866,2623,1,7,4468,1806,52,8,0,944,897,17,1858,42,110,253,332,359,327,215,132,61,26,9,0 to 105,39,439,625,242,552,304,779,775,232,0,115,0,0,21,1866,897,952,1857,8,1,10941,16,12861,10957,1866,21,806,611,1367889846.39806,205127.330650714,77657ea6-12d6-4645-9915-e7357c9f40d6,39
10,10,37,073,LEON,Leon,FL,17552,285,536,3086,2986,2508,2494,2571,1917,742,379,48,0 to 119,42,9140,8293,119,17244,307,1,1045,14255,201,3315,158,4922,12611,1,18,17226,4761,55,102,4,2520,2287,9,4816,67,205,1673,959,637,550,485,213,76,41,16,0 to 105,29,1422,1526,467,1401,337,2450,2029,355,14,132,11,7,24,4922,2341,2572,4815,106,1,53958,225,59220,54183,4922,24,2137,1721,1817477697.41779,246081.909627491,ff3d6d6c-1645-4c7e-bc93-049a674c4499,29
11,11,33,065,JEFFERSON,Jefferson,FL,1046,24,24,84,129,157,166,203,161,77,20,1,0 to 101,51,457,585,4,1038,8,0,26,787,41,359,15,448,596,1,1,1036,394,49,5,0,105,338,0,443,6,6,43,80,77,85,87,44,13,7,0,0 to 95,46,180,237,18,8,23,389,31,37,2,25,0,0,5,448,342,106,443,5,0,2495,4,2961,2499,448,5,277,239,1581350101.5302,228391.565390175,862c7bab-c64b-458c-a6fa-56543968d206,46
12,12,40,079,MADISON,Madison,FL,1798,91,114,211,224,238,260,244,230,121,59,6,0 to 99,45,1102,692,4,1767,31,0,93,1023,53,832,53,700,1096,1,1,1765,453,235,11,1,405,283,0,688,36,59,101,98,102,116,88,61,18,21,0,0 to 98,39,174,461,30,23,38,592,58,123,1,30,0,1,8,700,287,413,688,12,0,4363,19,5092,4382,700,8,818,718,1853116752.08771,219176.19751538,89851e42-542b-499a-ac7e-d8f5369f3d0b,39
13,13,39,077,LIBERTY,Liberty,FL,2379,9,16,213,691,573,422,295,107,37,7,9,0 to 105,39,291,2081,7,2379,0,0,10,1943,1,235,6,400,1978,0,1,2378,396,4,0,0,82,317,1,400,3,6,62,85,75,83,62,16,6,1,1,0 to 85,40,258,114,12,16,18,279,103,18,0,8,0,0,6,400,317,82,400,0,0,2676,0,3076,2676,400,6,336,311,2183538740.41838,308797.501184753,59b90335-ef4e-4e77-88c2-fc6bcc9d4032,40
