OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1127,31,43,138,149,143,155,165,126,101,76,0,0 to 118,49,647,473,7,1127,0,0,52,747,2,433,13,369,754,0,4,1123,341,28,0,0,197,171,1,369,9,14,57,58,38,44,52,26,32,39,0,0 to 106,46,298,25,20,26,52,286,31,33,0,20,0,0,6,369,171,197,369,0,0,3318,0,3694,3318,369,6,533,516,{CB6285A2-DA2E-4583-AAD5-1221776836AE},46,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,4657,109,241,543,687,614,692,732,501,340,181,17,0 to 118,47,2776,1832,49,4648,9,0,559,3568,133,1306,26,1539,3116,0,2,4646,951,587,1,0,798,722,18,1538,40,146,268,236,233,206,183,106,75,40,6,0 to 100,38,764,443,188,143,317,1035,186,289,1,170,0,0,27,1539,723,798,1538,1,0,11574,8,13135,11582,1539,27,281,213,{CE511C5D-2638-44A3-B2F8-B13847543637},38,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,2005,44,62,199,406,368,320,277,198,92,35,4,0 to 118,42,809,1174,22,1996,9,0,61,1420,3,737,29,981,1018,0,6,1990,931,47,3,0,230,748,0,978,2,17,97,259,233,184,107,51,21,10,0,4 to 92,40,433,368,52,125,96,720,162,76,0,27,0,0,5,981,748,233,978,3,0,4249,6,5263,4255,981,5,811,711,{541BD5A3-4453-499A-9896-F0EDC5353D0B},40,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,10497,238,320,1176,1719,1549,1403,1461,1087,847,652,45,0 to 119,46,6124,4257,116,10334,162,1,578,7415,137,1581,134,3587,6868,1,41,10293,3379,178,25,5,1916,1589,52,3557,36,126,615,732,579,487,432,289,166,120,5,0 to 103,39,1837,336,634,750,480,2179,898,297,4,166,2,0,45,3587,1601,1934,3556,30,1,26068,134,29834,26202,3587,45,3138,2707,{EB5D2450-A892-40FD-9BA4-9821A7438525},39,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,1032,13,31,100,153,179,144,157,123,86,46,0,0 to 99,47,519,497,16,1032,0,0,30,613,4,360,12,481,550,0,1,1031,465,16,0,0,198,282,1,481,2,14,50,91,88,67,61,46,35,27,0,1 to 99,44,298,61,27,95,19,352,110,51,0,31,0,0,8,481,282,198,481,0,0,3590,0,4087,3590,481,8,526,465,{3B55AA95-5170-4CAF-82A3-E99AD7459349},44,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,99335,1625,2856,9556,13912,13199,14436,15739,12834,8701,4809,1668,0 to 119,50,53705,45236,394,98349,984,2,7785,77992,465,24955,687,37641,61259,165,270,97919,36763,532,338,8,19176,17952,167,37295,624,1440,5510,7080,6201,5828,4846,2768,1825,1450,69,0 to 106,41,13820,5960,6349,11166,10303,14380,12612,3954,44,2844,29,16,940,37641,18133,19331,37293,346,2,245557,661,284448,246218,37641,940,9750,9485,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},41,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,16176,302,481,1481,2199,2209,2500,2597,2153,1380,816,58,0 to 119,50,9311,6594,271,16024,152,0,1265,11693,188,4079,148,5920,9975,5,276,15743,5780,118,22,0,3202,2627,69,5898,113,246,804,1009,952,929,782,513,311,238,23,0 to 104,43,1905,1270,856,1867,1200,2326,2372,527,2,376,2,1,180,5920,2638,3213,5898,22,0,37589,132,43693,37721,5920,180,3818,3803,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,20889,400,616,2107,2845,2971,3319,3371,2783,1672,739,66,0 to 119,49,11777,9004,108,20786,103,0,1463,15286,223,5760,250,7172,13606,2,109,20675,6995,139,37,1,3686,3403,45,7134,109,242,1079,1250,1132,1128,942,657,387,207,39,0 to 105,42,4544,506,1042,1042,1498,4182,1454,867,9,564,4,1,131,7172,3421,3706,7134,38,0,61253,68,68542,61321,7172,131,4431,3880,{83116673-3FAD-423E-B67E-DFE7515F5E81},42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,4561,103,219,458,769,798,775,653,485,189,98,14,0 to 119,44,2790,1742,29,4539,21,1,252,3540,46,1098,26,1928,2625,1,7,4532,1868,52,8,0,970,930,20,1920,46,116,257,343,372,333,225,133,64,27,12,0 to 105,39,455,653,262,550,317,820,783,249,0,129,0,0,21,1928,930,978,1919,8,1,11159,16,13144,11175,1928,21,808,614,{77657EA6-12D6-4645-9915-E7357C9F40D6},40,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,17771,291,547,3158,3021,2532,2529,2590,1922,746,385,50,0 to 119,42,9262,8387,122,17456,314,1,1155,14307,201,3466,165,5116,12632,2,21,17434,4946,57,109,4,2634,2357,12,5003,71,214,1736,993,661,577,501,218,80,47,18,0 to 105,29,1499,1583,533,1388,352,2587,2064,375,14,141,10,7,26,5116,2419,2685,5002,113,1,55614,225,61072,55839,5116,26,2214,1798,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},29,2.4286163266357628,0.1707040441862682
11,11,33,065,JEFFERSON,Jefferson,FL,1064,24,26,86,134,157,168,205,165,77,21,1,0 to 101,51,464,596,4,1055,9,0,27,794,41,370,16,462,599,1,2,1052,407,49,6,0,110,346,0,456,6,8,45,84,77,87,89,45,13,8,0,0 to 95,46,184,243,20,9,23,399,34,40,2,25,0,0,5,462,351,111,456,6,0,2547,4,3028,2551,462,5,287,249,{862C7BAB-C64B-458C-A6FA-56543968D206},46,2.2049309352502724,0.14849665622997743
12,12,40,079,MADISON,Madison,FL,1808,90,114,213,229,242,262,242,230,121,59,6,0 to 99,45,1110,694,4,1777,31,0,93,1023,53,852,54,710,1096,1,1,1775,462,236,11,1,410,288,0,698,35,59,101,101,106,117,89,62,18,22,0,0 to 98,40,183,469,30,16,39,608,51,128,1,32,0,1,8,710,292,418,698,12,0,4380,19,5119,4399,710,8,829,729,{89851E42-542B-499A-AC7E-D8F5369F3D0B},40,2.169691637311982,0.1740263300452793
13,13,39,077,LIBERTY,Liberty,FL,2389,10,16,216,695,572,423,297,108,37,7,8,0 to 105,39,302,2081,6,2389,0,0,12,1944,1,239,6,407,1982,0,0,2389,403,4,0,0,88,319,0,407,4,6,64,87,75,83,64,17,6,1,0,0 to 85,40,265,114,12,16,18,287,102,19,0,8,0,0,7,407,319,88,407,0,0,2691,0,3098,2691,407,7,345,320,{59B90335-EF4E-4E77-88C2-FC6BCC9D4032},40,3.020973914923982,0.20464132709324395
14,14,24,047,HAMILTON,Hamilton,FL,2294,35,59,224,584,449,360,266,187,80,47,3,0 to 118,40,620,1657,17,2286,8,0,68,1910,9,610,14,623,1670,0,1,2285,526,92,4,1,232,386,0,618,24,42,96,135,101,98,73,34,14,6,0,0 to 90,36,268,300,41,9,91,372,155,82,1,23,0,0,4,623,389,234,618,5,0,4025,3,4653,4028,623,4,50,48,{D384B6BB-17B0-4808-9D73-78CB54C43AAB},36,2.301523665227496,0.12636783551306294
15,15,3,005,BAY,Bay,FL,7560,90,117,902,1234,1162,1293,1210,798,446,233,75,0 to 119,47,3909,3519,132,7471,89,0,866,5015,28,3451,149,4523,3027,0,10,7461,4316,138,67,2,2158,2203,93,4454,54,85,711,878,764,785,614,371,179,59,23,0 to 99,41,2364,447,541,1102,318,2674,1462,480,14,201,5,5,52,4523,2244,2185,4454,69,0,22615,38,27234,22653,4523,52,375,368,{A66F3B06-8EE0-4DEC-843E-F41D712AAD2F},41,5.422685209627352,0.1810274207185009
16,16,12,023,COLUMBIA,Columbia,FL,5994,134,185,480,899,951,913,1044,770,382,226,10,0 to 119,48,2628,3301,65,5968,26,0,689,2997,63,2930,24,2917,3074,0,3,5965,2665,239,11,2,839,2062,3,2904,57,95,274,554,574,509,428,260,121,44,1,0 to 102,43,1180,483,123,1118,129,1469,1306,50,1,132,2,0,16,2917,2071,843,2904,13,0,10745,13,13731,10758,2917,16,70,69,{6958D394-62B5-4F73-A62A-0FA2389D4FB3},43,2.6336786210355756,0.19383765365800731
17,17,2,003,BAKER,Baker,FL,1933,46,47,215,377,368,315,288,150,90,35,2,0 to 99,42,804,1093,36,1874,59,0,152,1390,16,554,16,964,937,0,32,1842,869,95,0,0,250,713,1,964,5,17,99,232,229,163,138,47,27,7,0,1 to 97,39,404,121,40,399,13,490,461,59,0,32,0,0,4,964,713,250,964,0,0,4720,59,5761,4779,964,4,587,586,{393E3BC9-079E-4AD6-9162-D77EE72FEB59},39,1.7712451943566485,0.14260223696131116
